hpcd,hpname,pref,med2,city,bed
10046,藤田医科大学病院,愛知県,尾張東部,豊明市,1376
10024,順天堂大学医学部附属順天堂医院,東京都,区中央部,文京区,1051
20123,公益財団法人 大原記念倉敷中央医療機構 倉敷中央病院,岡山県,県南西部,倉敷市,1090
10031,東京大学医学部附属病院,東京都,区中央部,文京区,1205
10075,九州大学病院,福岡県,福岡・糸島,東区_福岡県,1256
10020,東京医科大学病院,東京都,区西部,新宿区,904
10033,北里大学病院,神奈川県,相模原,南区_神奈川県_相模原,1180
10013,獨協医科大学病院,栃木県,県南_栃木県,壬生町,1195
10029,杏林大学医学部付属病院,東京都,北多摩南部,三鷹市,1055
20106,大阪市立総合医療センター,大阪府,大阪市,都島区,1063
10022,慶應義塾大学病院,東京都,区西部,新宿区,946
20024,獨協医科大学埼玉医療センター,埼玉県,東部_埼玉県,越谷市,923
10012,自治医科大学附属病院,栃木県,県南_栃木県,下野市,1097
10056,学校法人近畿大学 近畿大学病院,大阪府,南河内,大阪狭山市,929
10055,関西医科大学附属病院,大阪府,北河内,枚方市,751
10034,東海大学医学部付属病院,神奈川県,湘南西部,伊勢原市,804
10047,愛知医科大学病院,愛知県,尾張東部,長久手市,847
20081,社会福祉法人聖隷福祉事業団 総合病院聖隷浜松病院,静岡県,西部_静岡県,中区_静岡県,750
10026,東邦大学医療センター大森病院,東京都,区南部,大田区,798
10035,聖マリアンナ医科大学病院,神奈川県,川崎北部,宮前区,1175
20036,医療法人鉄蕉会 亀田総合病院,千葉県,安房,鴨川市,917
10057,大阪大学医学部附属病院,大阪府,豊能,吹田市,1076
20083,日本赤十字社愛知医療センター 名古屋第二病院,愛知県,名古屋・尾張中部,昭和区,806
10019,東京慈恵会医科大学附属病院,東京都,区中央部,港区_東京都,1075
10005,岩手医科大学附属病院,岩手県,盛岡,矢巾町,1000
10058,兵庫医科大学病院,兵庫県,阪神,西宮市,903
20034,医療法人 徳洲会 千葉西総合病院,千葉県,東葛北部,松戸市,608
10048,名古屋大学医学部附属病院,愛知県,名古屋・尾張中部,昭和区,979
10025,昭和大学病院,東京都,区南部,品川区,815
20040,虎の門病院,東京都,区中央部,港区_東京都,819
10052,国立大学法人京都大学医学部附属病院,京都府,京都・乙訓,左京区,1121
10023,日本医科大学付属病院,東京都,区中央部,文京区,877
10053,大阪医科薬科大学病院,大阪府,三島,高槻市,832
20055,国家公務員共済組合連合会 横須賀共済病院,神奈川県,横須賀・三浦,横須賀市,698
20076,大垣市民病院,岐阜県,西濃,大垣市,866
10007,東北大学病院,宮城県,仙台,青葉区_宮城県,1160
20089,愛知県厚生農業協同組合連合会 安城更生病院,愛知県,西三河南部西,安城市,749
20127,地方独立行政法人 広島市立病院機構 広島市立広島市民病院,広島県,広島,中区_広島県,743
10021,東京女子医科大学病院,東京都,区西部,新宿区,1193
20122,日本赤十字社 和歌山医療センター,和歌山県,和歌山,和歌山市,723
20023,埼玉医科大学 総合医療センター,埼玉県,川越比企,川越市,975
20086,一宮西病院,愛知県,尾張西部,一宮市,490
10066,広島大学病院,広島県,広島,南区_広島県,742
30883,独立行政法人労働者健康安全機構 大阪労災病院,大阪府,堺市,北区_大阪府_堺市,678
20057,医療法人 徳洲会 湘南鎌倉総合病院,神奈川県,横須賀・三浦,鎌倉市,629
30914,大阪赤十字病院,大阪府,大阪市,天王寺区,964
20031,学校法人 順天堂 順天堂大学医学部附属浦安病院,千葉県,東葛南部,浦安市,785
20030,総合病院 国保旭中央病院,千葉県,香取海匝,旭市,819
20114,加古川中央市民病院,兵庫県,東播磨,加古川市,600
10061,和歌山県立医科大学附属病院,和歌山県,和歌山,和歌山市,800
20146,飯塚病院,福岡県,飯塚,飯塚市,995
20022,自治医科大学附属さいたま医療センター,埼玉県,さいたま,大宮区,628
31341,小倉記念病院,福岡県,北九州,小倉北区,656
20085,豊橋市民病院,愛知県,東三河南部,豊橋市,800
10078,熊本大学病院,熊本県,熊本・上益城,中央区_熊本県,845
10028,帝京大学医学部附属病院,東京都,区西北部,板橋区,1078
20047,日本赤十字社東京都支部 武蔵野赤十字病院,東京都,北多摩南部,武蔵野市,611
10065,岡山大学病院,岡山県,県南東部,北区_岡山県,843
20027,さいたま赤十字病院,埼玉県,さいたま,中央区_埼玉県,638
20003,手稲渓仁会病院,北海道,札幌,手稲区,670
10011,筑波大学附属病院,茨城県,つくば,つくば市,800
20116,兵庫県立尼崎総合医療センター,兵庫県,阪神,尼崎市,730
20052,国立研究開発法人 国立がん研究センター中央病院,東京都,区中央部,中央区_東京都,578
20043,公益財団法人 がん研究会 有明病院,東京都,区東部,江東区,686
10018,国立大学法人 千葉大学医学部附属病院,千葉県,千葉,中央区_千葉県,850
20082,日本赤十字社愛知医療センター 名古屋第一病院,愛知県,名古屋・尾張中部,中村区,852
10045,名古屋市立大学病院,愛知県,名古屋・尾張中部,瑞穂区,800
10016,埼玉医科大学病院,埼玉県,川越比企,毛呂山町,852
20119,神戸市立医療センター中央市民病院,兵庫県,神戸,中央区_兵庫県,768
10054,大阪公立大学医学部附属病院,大阪府,大阪市,阿倍野区,965
20104,公益財団法人 田附興風会 医学研究所 北野病院,大阪府,大阪市,北区_大阪府_大阪市,635
10027,日本大学医学部附属板橋病院,東京都,区西北部,板橋区,1025
30120,一般財団法人厚生会仙台厚生病院,宮城県,仙台,青葉区_宮城県,409
10072,福岡大学病院,福岡県,福岡・糸島,城南区,841
30547,昭和大学横浜市北部病院,神奈川県,横浜,都筑区,689
30281,医療法人社団 愛友会上尾中央総合病院,埼玉県,県央_埼玉県,上尾市,733
10073,久留米大学病院,福岡県,久留米,久留米市,977
20094,伊勢赤十字病院,三重県,南勢志摩,伊勢市,647
10059,神戸大学医学部附属病院,兵庫県,神戸,中央区_兵庫県,934
20079,静岡県立総合病院,静岡県,静岡,葵区,708
10077,長崎大学病院,長崎県,長崎,長崎市,874
31301,聖マリア病院_福岡県,福岡県,久留米,久留米市,950
20026,埼玉医科大学国際医療センター,埼玉県,西部_埼玉県,日高市,722
20053,公立大学法人 横浜市立大学附属市民総合医療センター,神奈川県,横浜,南区_神奈川県_横浜,644
30796,医療法人豊田会 刈谷豊田総合病院,愛知県,西三河南部西,刈谷市,704
20102,地方独立行政法人大阪府立病院機構 大阪急性期・総合医療センター,大阪府,大阪市,住吉区,875
20137,松山赤十字病院,愛媛県,松山,松山市,585
10002,北海道大学病院,北海道,札幌,北区_北海道,939
20115,独立行政法人労働者健康安全機構 関西労災病院,兵庫県,阪神,尼崎市,642
