hpcd,mdc6,value
20034,050050,6088
2993,020110,4488
30012,050050,3710
1323,020110,3077
31341,050050,2887
2905,020110,2773
2795,020110,2709
27,010230,2529
3117,060100,2442
30006,040040,2420
3347,020110,2346
31142,020110,2278
1801,020110,2218
20134,050050,2098
20052,040040,2067
3082,020110,2025
30883,020110,1980
30465,050050,1921
2658,020110,1904
30121,090010,1877
30339,050050,1865
20078,040040,1864
2744,060100,1826
30267,040040,1803
20043,090010,1800
30364,040040,1775
943,060100,1772
2296,020110,1765
31071,040040,1758
2800,020110,1757
1345,040040,1718
31447,050050,1697
10034,040040,1651
30120,050050,1636
30120,040040,1628
31473,090010,1626
30488,050050,1622
1797,060220,1619
10020,020110,1613
31345,090010,1574
2698,020110,1548
2491,060100,1527
30322,050050,1495
30905,140010,1473
2356,090010,1469
1573,060100,1451
30365,060100,1424
30732,050050,1414
31211,040040,1380
20055,050050,1367
20057,050050,1364
30465,050070,1362
1973,020110,1344
31468,050050,1340
30127,060100,1334
30482,140010,1334
559,060100,1333
90192,050050,1331
20108,040040,1329
30249,050070,1329
20108,06007x,1324
2940,020110,1320
10056,020110,1318
20043,040040,1297
30894,140010,1273
30427,020110,1262
10033,020110,1242
3058,060100,1239
20052,060010,1233
10020,040040,1230
20112,050050,1226
1395,060100,1221
30389,020110,1219
20024,020110,1216
30465,050080,1211
31345,040040,1209
90116,050050,1206
30253,040040,1202
31341,050070,1202
3064,020110,1181
31402,090010,1177
10006,020110,1174
30547,060035,1172
20043,12002x,1166
30570,040040,1166
20112,050070,1165
30120,050070,1162
31253,090010,1156
20082,040040,1155
20043,060020,1151
3147,020110,1150
30190,020110,1149
20052,06007x,1148
31395,120180,1146
10073,040040,1145
30082,090010,1145
30120,060100,1142
1839,020110,1128
20139,050050,1128
20060,050050,1113
20006,040040,1112
10031,070560,1111
30883,060100,1106
30763,040040,1105
30364,060010,1087
31395,120260,1086
20108,060020,1081
336,050050,1080
30334,050050,1079
20106,040040,1074
20108,060010,1073
30310,020110,1073
20027,020110,1069
10074,040040,1067
2744,060035,1060
30123,180040,1053
324,060100,1048
10005,040040,1047
2993,020210,1043
90195,050050,1026
30281,060100,1025
20039,090010,1023
10024,050050,1021
30970,050050,1014
31147,060100,1010
510,050050,1009
20078,12002x,1006
235,050050,1004
1797,060235,1003
20108,12002x,1002
20026,040040,1001
30249,050050,1001
10053,020110,999
20052,03001x,998
30538,040040,996
10046,040040,995
20147,040040,994
30895,040040,994
10033,040040,992
20027,050070,992
30983,060035,990
10022,020110,989
10024,040040,989
20095,050050,984
31477,050050,982
10012,040040,979
10038,020110,979
10057,020110,975
10012,020110,972
20022,050050,972
31403,060100,970
30883,050050,969
90233,020110,967
20121,040040,966
20085,040040,962
20078,060020,960
20123,050050,958
30349,07040x,958
10078,040040,955
3131,060100,950
90110,060100,949
30413,100020,945
20031,020110,944
10039,040040,942
30084,040040,942
10035,090010,940
20027,040040,940
10035,020110,937
30038,040040,935
20146,040040,934
2845,140010,932
10054,040040,931
140,090010,925
30012,050070,925
90132,040040,923
31033,010060,921
31341,050080,921
10023,040040,920
10016,020110,917
10007,040040,912
10058,020110,909
10048,040040,908
30475,040040,905
10002,040040,904
10024,060050,903
31026,020110,903
30941,040040,902
10063,020110,901
10026,040040,899
30362,020110,898
30484,070343,895
10061,040040,893
20086,040040,890
90196,040130,890
20043,060035,888
31138,050050,887
30782,020110,883
20002,050050,878
10013,040040,876
10047,020110,875
20023,040040,870
20086,050050,869
10053,12002x,866
31025,12002x,866
10029,040040,865
30364,060020,864
90236,11012x,860
10075,12002x,859
10034,020110,857
30914,040040,857
20043,06007x,856
20024,040040,855
10024,020110,853
31242,020110,851
10027,020110,850
10056,040040,848
20057,050070,848
31180,040040,848
30758,060100,847
10075,040040,846
30773,050050,844
10029,020110,843
20108,03001x,843
30565,120060,839
20123,050130,838
90100,060010,838
30063,040040,836
30470,050050,834
10065,040040,833
20043,060010,833
30552,040040,829
3015,020110,828
20103,020110,826
20041,040040,824
31302,090010,824
30962,060100,823
1074,100020,821
10058,040040,821
30364,06007x,821
20121,020110,820
20035,040040,819
336,050070,818
2960,020110,818
20115,050050,818
20152,050070,817
10020,03001x,815
30902,140010,815
31343,040040,815
10055,070343,814
20044,060100,813
10055,020110,809
10072,040040,809
20122,040040,809
30759,040040,808
20106,140010,807
10043,040040,804
30120,060050,804
10066,040040,803
20053,040040,803
20079,040040,803
10053,040040,802
20036,040040,802
20036,090010,802
30003,050050,801
30123,110280,801
10001,040040,800
20048,040040,800
20040,040040,799
20043,060040,798
20132,040040,797
31460,040040,797
1134,11012x,796
10046,050050,795
3311,020110,794
10011,050070,794
30127,060040,794
30279,040040,794
31087,050050,792
31345,12002x,791
20068,040040,790
1211,060100,788
31043,020110,787
2844,050050,784
30974,050050,784
20078,03001x,781
20123,040040,781
30978,060100,781
30210,040040,780
30373,060220,780
1672,050050,778
20038,050050,778
30082,040040,778
30622,050050,776
2971,020110,774
30013,040040,771
30279,090010,771
90198,11012x,771
10062,040040,770
20052,090010,770
10001,12002x,769
90195,050070,769
30127,060035,767
2888,060100,766
30373,060235,765
20052,060020,763
20112,010060,762
3114,050050,761
30082,12002x,760
30465,14031x,757
31253,12002x,757
20096,050050,756
30325,020110,756
580,010060,754
20109,040040,753
10052,020200,752
30005,060100,752
20040,060040,751
3163,070350,750
20055,040040,750
10022,040040,749
10022,12002x,748
30934,140010,748
10052,040040,746
20012,040040,746
10029,130030,745
30490,020110,745
20018,050050,744
30993,060035,744
20058,050050,743
30498,040040,741
20031,040040,737
10013,020110,736
30330,050050,736
30765,040040,735
30238,050050,734
10055,040040,733
10068,040040,733
20040,060035,732
1344,040040,731
20018,040040,731
1773,070470,730
20061,040040,730
10031,020110,729
20127,040040,729
31050,050050,728
10081,040040,726
20023,06007x,726
31146,060100,725
30533,020110,723
2400,140010,722
10028,040040,721
30017,040040,721
30030,060020,721
10034,12002x,720
10038,040040,720
20067,040040,720
20075,040040,719
20125,050050,718
30058,040040,718
90081,020110,717
20021,050050,716
30318,010060,716
30538,06007x,716
30760,020110,716
30774,030250,715
1855,020110,714
30061,140010,714
10049,12002x,712
30478,060100,712
31068,020110,712
31381,040040,712
20125,040040,709
544,060235,706
30956,020110,706
30547,050050,705
30296,050050,704
20102,050050,703
30759,020110,703
31330,040040,703
30030,060100,701
30915,050050,701
20024,050050,699
20025,050050,699
30740,070343,699
1904,060100,698
3167,070343,698
2006,050050,697
20108,090010,697
30290,040040,697
30439,060100,697
20109,050050,696
20112,050130,696
30349,160620,696
31447,050070,695
20062,050050,693
90213,060100,692
20001,020110,691
20011,040040,691
20074,050050,691
20078,120010,691
31344,040040,691
10060,020110,689
10056,060100,687
30583,040040,687
31142,120060,686
20111,020110,683
10046,020110,682
20102,040040,682
31287,060035,682
2993,020220,681
30989,020110,680
31253,040040,680
10030,020110,679
20046,040040,679
20052,070041,679
20078,060035,679
20083,020110,679
10082,03001x,678
10013,110280,677
30201,040040,677
10009,040040,676
30322,020110,675
30547,060040,675
30796,040040,675
30239,110280,673
30364,03001x,673
31138,050130,673
31341,110280,673
30785,050050,672
31018,050050,672
10070,040040,670
30112,040040,669
2317,020110,668
31253,120010,668
3178,050050,666
20061,140010,666
31182,010060,666
261,010230,665
10025,060010,665
10031,040040,665
20036,060100,665
20088,050050,665
20151,010060,665
20115,050170,664
10066,060050,663
20080,050050,663
90194,050050,662
20088,020110,661
30056,020110,658
10057,090010,657
30995,020110,655
31162,130030,655
20084,020110,654
30095,060100,654
544,060220,653
10045,040040,652
10024,010030,651
10054,12002x,651
3167,070350,650
20153,040040,650
2260,070470,649
2701,050050,649
1573,060241,648
10048,12002x,648
10061,06007x,648
20093,050050,648
10014,020110,647
10019,020110,647
10067,020110,647
30781,060100,647
30063,050050,646
10075,020110,644
20010,040040,643
30880,040040,643
30765,110080,641
10002,020220,640
20027,090010,640
20075,060100,640
313,020110,639
20089,040040,639
20089,140010,639
31025,040040,639
2887,110050,638
10081,12002x,638
20055,050070,638
30115,040040,638
30747,040040,638
30763,03001x,638
31004,050050,638
3163,070343,637
20078,060050,637
20078,06007x,637
20007,040040,635
20026,050070,635
20123,050070,635
90100,060100,635
20112,050080,634
90156,060100,634
1296,040040,633
20019,040040,633
20043,120010,633
10047,060100,632
20123,010060,632
10082,12002x,631
20126,040040,631
20022,040040,629
10036,040040,627
10011,040040,626
10031,110080,626
20074,040040,626
30661,050050,626
