hpcd,mdc6,ope,value
2993,020110,97,4488
20034,050050,99,3568
1323,020110,97,3077
2905,020110,97,2762
2795,020110,97,2709
27,010230,99,2461
3117,060100,1,2442
20034,050050,2,2409
3347,020110,97,2346
31142,020110,97,2278
1801,020110,97,2218
3082,020110,97,2025
30006,040040,99,1999
30883,020110,97,1980
30012,050050,2,1940
2658,020110,97,1904
2744,060100,1,1797
2296,020110,97,1765
2800,020110,97,1757
1797,060220,97,1619
10020,020110,97,1613
31341,050050,99,1610
30012,050050,99,1608
30267,040040,99,1566
2698,020110,97,1548
1345,040040,99,1535
31071,040040,99,1457
20078,040040,99,1450
10034,040040,99,1430
30121,090010,99,1414
943,060100,1,1386
30120,040040,99,1355
1973,020110,97,1344
20052,040040,99,1332
2940,020110,97,1320
30127,060100,1,1320
20134,050050,99,1319
10056,020110,97,1318
30365,060100,1,1269
30427,020110,97,1262
10033,020110,97,1242
3058,060100,1,1239
30389,020110,97,1219
20024,020110,97,1216
31211,040040,99,1210
2356,090010,99,1196
30364,040040,99,1187
3064,020110,97,1181
10006,020110,97,1174
31447,050050,99,1164
30249,050070,1,1161
31345,090010,99,1161
30905,140010,99,1155
3147,020110,97,1150
30190,020110,97,1149
31341,050050,2,1149
30482,140010,99,1147
1839,020110,97,1128
30253,040040,99,1085
30310,020110,97,1073
20027,020110,97,1069
1573,060100,1,1051
10031,070560,99,1047
30120,060100,1,1038
2491,060100,1,1032
30465,050070,1,1027
2744,060035,99,1018
30465,050050,99,1014
31341,050070,1,1014
30883,060100,1,1013
31147,060100,1,1010
324,060100,1,1007
30120,050050,99,1004
1797,060235,97,1003
30894,140010,99,1002
10053,020110,97,999
10022,020110,97,989
10038,020110,97,979
10057,020110,97,975
31345,040040,99,975
30488,050050,99,973
10012,020110,97,972
30123,180040,97,970
20108,040040,99,969
90116,050050,99,967
90233,020110,97,967
30281,060100,1,960
30349,07040x,1,958
10020,040040,99,951
10073,040040,99,951
20031,020110,97,944
31403,060100,1,942
20006,040040,99,938
10035,020110,97,937
30322,050050,99,936
30339,050050,2,929
20027,050070,1,926
3131,060100,1,923
1395,060100,1,920
10016,020110,97,917
31468,050050,99,917
10058,020110,97,909
2845,140010,99,907
31026,020110,97,903
10063,020110,97,901
30339,050050,99,900
30362,020110,97,898
30782,020110,97,883
90196,040130,99,878
10047,020110,97,875
20108,06007x,99,868
30570,040040,99,861
10034,020110,97,857
30547,060035,99,856
10024,020110,97,853
31242,020110,97,851
10027,020110,97,850
2993,020210,97,845
10029,020110,97,843
20043,090010,1,837
20082,040040,99,834
3015,020110,97,828
30565,120060,2,827
20103,020110,97,826
90110,060100,1,826
30962,060100,1,823
10074,040040,99,820
20121,020110,97,820
2960,020110,97,818
30084,040040,99,815
10055,020110,97,809
10046,040040,99,806
31473,090010,99,806
90132,040040,99,803
10005,040040,99,802
10033,040040,99,798
20106,040040,99,797
20044,060100,1,796
20085,040040,99,796
3311,020110,97,794
20043,040040,99,794
20055,050050,99,794
30895,040040,99,790
20147,040040,99,788
31043,020110,97,787
20112,050050,99,784
31402,090010,99,780
2971,020110,97,774
31253,090010,99,772
20086,040040,99,769
31033,010060,99,768
90192,050050,99,768
30978,060100,1,767
30373,060220,97,765
30373,060235,97,765
30465,050050,2,764
20134,050050,2,761
30325,020110,97,756
20152,050070,1,755
30941,040040,99,754
510,050050,99,752
20026,040040,99,748
30763,040040,99,748
30490,020110,97,745
336,050070,1,742
30902,140010,99,741
3163,070350,1,740
20057,050050,99,739
10026,040040,99,737
20106,140010,99,737
30758,060100,1,737
10013,020110,97,736
20052,040040,97,735
20112,050070,1,735
30732,050050,99,735
20057,050070,1,734
31460,040040,99,734
1773,070470,99,730
10031,020110,97,729
30475,040040,99,727
20027,040040,99,726
30413,100020,1,726
20121,040040,99,725
31146,060100,1,725
30934,140010,99,724
1074,100020,1,723
30533,020110,97,723
336,050050,2,722
10039,040040,99,721
20139,050050,99,721
90195,050050,2,719
30038,040040,99,717
90081,020110,97,717
30760,020110,97,716
1855,020110,97,714
10061,040040,99,714
20146,040040,99,714
31068,020110,97,712
90198,11012x,4,710
1211,060100,1,707
20052,060010,99,707
544,060235,97,706
10078,040040,99,706
30956,020110,97,706
10012,040040,99,704
2400,140010,99,703
30759,020110,97,703
10007,040040,99,701
20035,040040,99,700
20078,12002x,99,700
30552,040040,99,699
1904,060100,1,698
30439,060100,1,697
10013,040040,99,696
10054,040040,99,694
10011,050070,1,693
20001,020110,97,691
10060,020110,97,689
20048,040040,99,689
30063,040040,99,687
30030,060100,1,686
30061,140010,99,686
20111,020110,97,683
30210,040040,99,683
10046,020110,97,682
30989,020110,97,680
10030,020110,97,679
20083,020110,97,679
31180,040040,99,678
30322,020110,97,675
559,060100,99,672
10023,040040,99,672
2317,020110,97,668
20023,040040,99,668
20024,040040,99,668
20088,020110,97,661
30732,050050,2,661
580,010060,99,660
30478,060100,1,659
30914,040040,99,659
31142,120060,2,659
30056,020110,97,658
30995,020110,97,655
20084,020110,97,654
544,060220,97,653
10056,060100,1,653
20095,050050,2,653
20112,010060,99,652
10002,040040,99,651
20036,060100,1,651
30983,060035,4,651
10029,040040,99,650
30334,050050,99,650
1573,060241,97,648
30970,050050,2,648
10014,020110,97,647
10019,020110,97,647
10067,020110,97,647
20108,12002x,99,647
30013,040040,99,647
30781,060100,1,647
10075,020110,97,644
